,h,k,l,d(Å),F(real),F(imag),|F|,2θ,I,MID,(λ),Phase,Peak,ObsInt,Sigma
0,1,1,1,3.471088,-72.86506,-21.758525,76.0444,25.64341,13.61843,8,1,1,25.91262765365979,39.256,0.477
1,2,0,0,3.00605,276.556382,28.809442,278.053,29.69518,100.0,6,1,1,29.923153344596855,41.925,0.255
2,2,2,0,2.125598,249.502679,28.809442,251.16,42.49414,74.4478,12,1,1,42.998410199482734,28.346,0.399
3,3,1,1,1.812716,-60.308926,-21.758525,64.114,50.29378,6.62737,24,1,1,49.032349775358696,40.742,1.07
4,2,2,2,1.735544,231.012925,28.809442,232.802,52.69775,26.18806,8,1,1,51.00000000000002,38.13,0.776
5,4,0,0,1.503025,216.491756,28.809442,218.4,61.66065,12.12509,6,1,1,60.217126671089865,1.18,0.183
6,3,3,1,1.37927,-54.499511,-21.758525,58.6825,67.90164,2.84357,24,1,1,67.64467714725308,0.187,0.029
7,4,2,0,1.344346,204.335984,28.809442,206.357,69.91792,33.11077,24,1,1,70.46053649819872,37.179,0.678
8,4,2,2,1.227215,193.833586,28.809442,195.963,77.75812,24.48687,24,1,1,78.06644054526089,0.831,0.077
9,3,3,3,1.157029,-50.730963,-21.758525,55.2002,83.48034,0.58219,8,1,1,82.49330513573646,29.699,2.446
10,5,1,1,1.157029,-50.730963,-21.758525,55.2002,83.48034,1.74656,24,1,1,82.49339216546711,29.678,2.445
